,Address,Cars,Bluecar counter,Utilib counter,Utilib 1.4 counter,Charge Slots,Charging Status,City,ID,Kind,Geo point,Postal code,Public name,Rental status,Slots,Status,Subscription status,year,month,day,hour,minute,new_datetime
3867,6 Rue Adolphe Yvon,5,5,0,0,0,operational,Paris,paris-adolpheyvon-6,STATION,"48.8644046, 2.2710381",75016,Paris/Adolphe Yvon/6,operational,1,ok,nonexistent,2018,4,4,23,18,2018-04-04 23:18:00
3868,42 avenue du GÃ©nÃ©ral de Gaulle,2,2,0,0,0,nonexistent,Maisons-Alfort,maisonsalfort-generaldegaulle-42,SPACE,"48.8138166, 2.4212353",94700,Maisons-Alfort/De Gaulle/42,operational,2,ok,operational,2018,4,3,9,58,2018-04-03 09:58:00
3869,31 boulevard de Grenelle,0,0,0,0,0,nonexistent,Paris,paris-grenelle31-parking,PARKING,"48.85255, 2.29071",75015,Paris/Grenelle 31/Parking,broken,0,closed,nonexistent,2018,4,2,8,11,2018-04-02 08:11:00
3870,10 rue Anatole de la Forge,0,0,0,0,0,nonexistent,Paris,paris-anatoledelaforge-10,STATION,"48.8758331, 2.292289",75017,Paris/Anatole de la Forge/10,future,0,scheduled,nonexistent,2018,4,1,9,0,2018-04-01 09:00:00
3871,23 avenue du GÃ©nÃ©ral de Gaulle,0,0,0,0,0,nonexistent,Gennevilliers,gennevilliers-degaulle-23,STATION,"48.93368, 2.306482",92230,Gennevilliers/De Gaulle/23,operational,6,ok,nonexistent,2018,4,6,2,51,2018-04-06 02:51:00
3872,11 rue Marguerite Long,0,0,0,0,1,operational,Paris,paris-margueritelong-11,STATION,"48.8914427, 2.3040083",75017,Paris/Marguerite Long/11,operational,5,ok,nonexistent,2018,4,6,5,2,2018-04-06 05:02:00
3873,126 rue de Colombes,5,5,1,0,0,nonexistent,La Garenne-Colombes,lagarennecolombes-colombes-126,STATION,"48.9047803, 2.2558349",92250,La Garenne-Colombes/Colombes/126,operational,1,ok,nonexistent,2018,4,2,1,50,2018-04-02 01:50:00
3874,13 rue du conservatoire,0,0,0,0,0,operational,Paris,paris-conservatoire-13,STATION,"48.8735894, 2.3466528",75009,Paris/Conservatoire/13,operational,0,ok,nonexistent,2018,4,6,20,20,2018-04-06 20:20:00
3875,273 rue du MÃ©nil,1,1,0,0,0,nonexistent,AsniÃ¨res-sur-Seine,asnieressurseine-menil-273,STATION,"48.92582, 2.274079",92600,AsniÃ¨res-sur-Seine/MÃ©nil/273,operational,5,ok,nonexistent,2018,4,2,13,52,2018-04-02 13:52:00
3876,2 rue Marie-AndrÃ©e Lagroua Weil-Halle,4,4,0,0,0,nonexistent,Paris,paris-marieandreelagrouaweilhalle-2,STATION,"48.8276393, 2.3810867",75013,Paris/Marie-AndrÃ©e Lagroua Weil-Halle/2,operational,0,ok,nonexistent,2018,4,6,10,31,2018-04-06 10:31:00
3877,122 boulevard Jean JaureÌs,2,2,0,0,0,nonexistent,Clichy-la-Garenne,clichylagarenne-jeanjaures-122,STATION,"48.9057159, 2.301558",92210,Clichy-la-Garenne/Jean JaureÌs/122,operational,4,ok,nonexistent,2018,4,3,15,34,2018-04-03 15:34:00
3878,65 cours de Vincennes,1,1,0,0,2,operational,Paris,paris-vincennes-65,STATION,"48.8477968, 2.4060203",75020,Paris/Vincennes/65,operational,5,ok,nonexistent,2018,4,3,22,38,2018-04-03 22:38:00
3879,41 rue Didot,0,0,0,1,0,nonexistent,Paris,paris-didot-41,STATION,"48.8318566, 2.3202972",75014,Paris/Didot/41,operational,2,ok,nonexistent,2018,4,3,6,18,2018-04-03 06:18:00
3880,1 Place des PrÃ©-Hauts,3,3,0,0,0,nonexistent,VerriÃ¨res-le-Buisson,verriereslebuisson-prehauts-1,SPACE,"48.75219, 2.271931",91370,VerriÃ¨res-le-Buisson/PrÃ©-Hauts/1,operational,1,ok,operational,2018,4,9,17,27,2018-04-09 17:27:00
